Grid_Number,Government_Facilities
0,14.0
1,28.0
2,40.0
3,59.0
4,59.0
5,97.0
6,129.0
7,136.0
8,125.0
9,103.0
10,75.0
11,58.0
12,40.0
13,24.0
14,11.0
15,5.0
16,3.0
17,3.0
18,5.0
19,4.0
20,3.0
21,6.0
22,24.0
23,29.0
24,31.0
25,26.0
26,20.0
27,19.0
28,19.0
29,22.0
30,28.0
31,25.0
32,15.0
33,15.0
34,7.0
35,4.0
36,4.0
37,4.0
38,28.0
39,81.0
40,116.0
41,180.0
42,251.0
43,277.0
44,241.0
45,227.0
46,235.0
47,234.0
48,208.0
49,152.0
50,103.0
51,76.0
52,56.0
53,36.0
54,45.0
55,48.0
56,39.0
57,35.0
58,38.0
59,55.0
60,62.0
61,73.0
62,81.0
63,74.0
64,64.0
65,49.0
66,47.0
67,51.0
68,60.0
69,75.0
70,85.0
71,62.0
72,40.0
73,27.0
74,14.0
75,4.0
76,90.0
77,136.0
78,234.0
79,363.0
80,477.0
81,535.0
82,511.0
83,414.0
84,403.0
85,380.0
86,346.0
87,275.0
88,209.0
89,177.0
90,176.0
91,152.0
92,111.0
93,119.0
94,132.0
95,120.0
96,114.0
97,126.0
98,134.0
99,142.0
100,128.0
101,131.0
102,135.0
103,147.0
104,132.0
105,131.0
106,144.0
107,145.0
108,133.0
109,115.0
110,87.0
111,59.0
112,29.0
113,16.0
114,121.0
115,218.0
116,321.0
117,454.0
118,540.0
119,581.0
120,603.0
121,131.0
122,536.0
123,523.0
124,493.0
125,417.0
126,364.0
127,323.0
128,318.0
129,288.0
130,232.0
131,211.0
132,219.0
133,218.0
134,229.0
135,258.0
136,258.0
137,237.0
138,231.0
139,215.0
140,234.0
141,257.0
142,262.0
143,241.0
144,233.0
145,234.0
146,222.0
147,183.0
148,157.0
149,118.0
150,86.0
151,37.0
152,161.0
153,265.0
154,375.0
155,490.0
156,564.0
157,600.0
158,193.0
159,187.0
160,149.0
161,634.0
162,84.0
163,101.0
164,455.0
165,453.0
166,460.0
167,415.0
168,389.0
169,320.0
170,318.0
171,321.0
172,368.0
173,365.0
174,361.0
175,364.0
176,352.0
177,366.0
178,365.0
179,367.0
180,369.0
181,41.0
182,42.0
183,317.0
184,317.0
185,294.0
186,256.0
187,202.0
188,147.0
189,83.0
190,217.0
191,273.0
192,113.0
193,208.0
194,255.0
195,308.0
196,261.0
197,266.0
198,190.0
199,166.0
200,142.0
201,163.0
202,153.0
203,556.0
204,571.0
205,553.0
206,81.0
207,436.0
208,83.0
209,460.0
210,473.0
211,486.0
212,498.0
213,472.0
214,108.0
215,457.0
216,469.0
217,462.0
218,448.0
219,84.0
220,97.0
221,101.0
222,89.0
223,79.0
224,338.0
225,274.0
226,232.0
227,146.0
228,219.0
229,274.0
230,379.0
231,208.0
232,270.0
233,293.0
234,251.0
235,231.0
236,175.0
237,154.0
238,162.0
239,230.0
240,191.0
241,145.0
242,626.0
243,634.0
244,138.0
245,141.0
246,128.0
247,113.0
248,92.0
249,107.0
250,130.0
251,147.0
252,140.0
253,111.0
254,92.0
255,95.0
256,102.0
257,124.0
258,143.0
259,131.0
260,119.0
261,115.0
262,380.0
263,307.0
264,259.0
265,201.0
266,212.0
267,266.0
268,353.0
269,437.0
270,512.0
271,215.0
272,148.0
273,146.0
274,96.0
275,121.0
276,136.0
277,190.0
278,181.0
279,169.0
280,141.0
281,158.0
282,163.0
283,187.0
284,139.0
285,118.0
286,119.0
287,138.0
288,159.0
289,171.0
290,168.0
291,142.0
292,129.0
293,116.0
294,155.0
295,137.0
296,141.0
297,121.0
298,140.0
299,473.0
300,389.0
301,327.0
302,254.0
303,203.0
304,171.0
305,228.0
306,319.0
307,391.0
308,456.0
309,509.0
310,594.0
311,598.0
312,620.0
313,54.0
314,85.0
315,101.0
316,149.0
317,178.0
318,154.0
319,175.0
320,730.0
321,168.0
322,148.0
323,111.0
324,111.0
325,154.0
326,194.0
327,208.0
328,152.0
329,116.0
330,109.0
331,115.0
332,141.0
333,133.0
334,540.0
335,123.0
336,138.0
337,138.0
338,139.0
339,324.0
340,248.0
341,202.0
342,31.0
343,176.0
344,254.0
345,325.0
346,375.0
347,411.0
348,438.0
349,467.0
350,398.0
351,452.0
352,464.0
353,499.0
354,74.0
355,114.0
356,126.0
357,125.0
358,158.0
359,168.0
360,144.0
361,104.0
362,90.0
363,129.0
364,180.0
365,188.0
366,111.0
367,613.0
368,589.0
369,513.0
370,103.0
371,107.0
372,107.0
373,104.0
374,108.0
375,120.0
376,120.0
377,116.0
378,85.0
379,182.0
380,4.0
381,28.0
382,122.0
383,175.0
384,222.0
385,264.0
386,262.0
387,234.0
388,245.0
389,254.0
390,342.0
391,402.0
392,445.0
393,82.0
394,94.0
395,108.0
396,125.0
397,150.0
398,146.0
399,113.0
400,116.0
401,153.0
402,169.0
403,138.0
404,631.0
405,578.0
406,523.0
407,445.0
408,55.0
409,394.0
410,74.0
411,68.0
412,427.0
413,375.0
414,314.0
415,249.0
416,61.0
417,159.0
418,8.0
419,8.0
420,8.0
421,22.0
422,40.0
423,55.0
424,51.0
425,54.0
426,72.0
427,136.0
428,193.0
429,274.0
430,355.0
431,482.0
432,81.0
433,636.0
434,141.0
435,147.0
436,136.0
437,123.0
438,125.0
439,150.0
440,153.0
441,643.0
442,592.0
443,529.0
444,453.0
445,356.0
446,314.0
447,304.0
448,311.0
449,324.0
450,328.0
451,297.0
452,275.0
453,229.0
454,180.0
455,132.0
456,8.0
457,8.0
458,8.0
459,8.0
460,7.0
461,5.0
462,5.0
463,7.0
464,12.0
465,42.0
466,103.0
467,5.0
468,16.0
469,37.0
470,477.0
471,100.0
472,133.0
473,138.0
474,167.0
475,157.0
476,175.0
477,156.0
478,136.0
479,663.0
480,593.0
481,495.0
482,406.0
483,324.0
484,265.0
485,212.0
486,201.0
487,207.0
488,214.0
489,214.0
490,206.0
491,179.0
492,129.0
493,85.0
494,8.0
495,8.0
496,8.0
497,8.0
498,9.0
499,7.0
500,5.0
501,5.0
502,7.0
503,9.0
504,50.0
505,5.0
506,7.0
507,29.0
508,394.0
509,501.0
510,134.0
511,141.0
512,159.0
513,162.0
514,185.0
515,155.0
516,607.0
517,591.0
518,528.0
519,426.0
520,336.0
521,284.0
522,265.0
523,230.0
524,193.0
525,143.0
526,134.0
527,119.0
528,116.0
529,98.0
530,69.0
531,56.0
532,8.0
533,8.0
534,8.0
535,8.0
536,10.0
537,8.0
538,5.0
539,5.0
540,6.0
541,8.0
542,28.0
543,78.0
544,164.0
545,242.0
546,309.0
547,394.0
548,128.0
549,134.0
550,135.0
551,140.0
552,153.0
553,116.0
554,125.0
555,524.0
556,442.0
557,371.0
558,352.0
559,309.0
560,304.0
561,289.0
562,232.0
563,181.0
564,131.0
565,83.0
566,40.0
567,30.0
568,24.0
569,23.0
570,8.0
571,8.0
572,8.0
573,9.0
574,10.0
575,8.0
576,6.0
577,5.0
578,5.0
579,7.0
580,18.0
581,51.0
582,128.0
583,196.0
584,234.0
585,314.0
586,97.0
587,95.0
588,92.0
589,518.0
590,514.0
591,498.0
592,112.0
593,116.0
594,371.0
595,96.0
596,85.0
597,328.0
598,330.0
599,334.0
600,277.0
601,231.0
602,165.0
603,121.0
604,80.0
605,38.0
606,27.0
607,25.0
608,13.0
609,8.0
610,7.0
611,13.0
612,13.0
613,11.0
614,5.0
615,5.0
616,5.0
617,6.0
618,15.0
619,30.0
620,91.0
621,156.0
622,202.0
623,245.0
624,64.0
625,333.0
626,390.0
627,407.0
628,409.0
629,409.0
630,386.0
631,338.0
632,112.0
633,99.0
634,107.0
635,82.0
636,424.0
637,448.0
638,425.0
639,400.0
640,294.0
641,215.0
642,158.0
643,119.0
644,76.0
645,48.0
646,9.0
647,4.0
648,4.0
649,4.0
650,13.0
651,12.0
652,8.0
653,5.0
654,5.0
655,6.0
656,15.0
657,18.0
658,60.0
659,90.0
660,125.0
661,36.0
662,210.0
663,253.0
664,302.0
665,308.0
666,313.0
667,312.0
668,290.0
669,283.0
670,313.0
671,333.0
672,105.0
673,114.0
674,476.0
675,488.0
676,465.0
677,464.0
678,409.0
679,328.0
680,236.0
681,159.0
682,109.0
683,71.0
684,4.0
685,4.0
686,4.0
687,11.0
688,17.0
689,11.0
690,8.0
691,5.0
692,5.0
693,6.0
694,11.0
695,14.0
696,39.0
697,54.0
698,89.0
699,107.0
700,119.0
701,135.0
702,188.0
703,221.0
704,192.0
705,197.0
706,225.0
707,249.0
708,288.0
709,318.0
710,400.0
711,457.0
712,140.0
713,494.0
714,471.0
715,466.0
716,440.0
717,381.0
718,282.0
719,186.0
720,126.0
721,90.0
722,7.0
723,11.0
724,11.0
725,16.0
726,15.0
727,10.0
728,9.0
729,8.0
730,5.0
731,6.0
732,10.0
733,12.0
734,14.0
735,41.0
736,55.0
737,67.0
738,79.0
739,80.0
740,73.0
741,75.0
742,68.0
743,95.0
744,140.0
745,190.0
746,250.0
747,303.0
748,394.0
749,467.0
750,477.0
751,466.0
752,463.0
753,455.0
754,428.0
755,399.0
756,297.0
757,195.0
758,132.0
759,95.0
760,14.0
761,11.0
762,15.0
763,13.0
764,13.0
765,8.0
766,10.0
767,8.0
768,5.0
769,4.0
770,6.0
771,10.0
772,10.0
773,13.0
774,38.0
775,41.0
776,45.0
777,42.0
778,28.0
779,9.0
780,28.0
781,47.0
782,63.0
783,113.0
784,163.0
785,249.0
786,367.0
787,423.0
788,427.0
789,449.0
790,451.0
791,444.0
792,411.0
793,386.0
794,304.0
795,186.0
796,132.0
797,97.0
798,13.0
799,13.0
800,13.0
801,13.0
802,8.0
803,8.0
804,8.0
805,6.0
806,3.0
807,3.0
808,4.0
809,5.0
810,10.0
811,11.0
812,14.0
813,15.0
814,17.0
815,9.0
816,7.0
817,7.0
818,7.0
819,11.0
820,17.0
821,20.0
822,47.0
823,132.0
824,256.0
825,333.0
826,391.0
827,430.0
828,433.0
829,414.0
830,378.0
831,360.0
832,274.0
833,177.0
834,123.0
835,95.0
