Grid_Number,Mum_popu_Connectivity
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,-1.0
46,-1.0
47,-1.0
48,-1.0
49,-1.0
50,-1.0
51,-1.0
52,-1.0
53,-1.0
54,-1.0
55,-1.0
56,-1.0
57,-1.0
58,-1.0
59,-1.0
60,-1.0
61,-1.0
62,-1.0
63,-1.0
64,-1.0
65,-1.0
66,-1.0
67,-1.0
68,-1.0
69,-1.0
70,-1.0
71,-1.0
72,-1.0
73,-1.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,-1.0
79,-1.0
80,-1.0
81,-1.0
82,-1.0
83,-1.0
84,-1.0
85,-1.0
86,-1.0
87,-1.0
88,-1.0
89,-1.0
90,-1.0
91,-1.0
92,-1.0
93,-1.0
94,-1.0
95,-1.0
96,-1.0
97,-1.0
98,-1.0
99,-1.0
100,-1.0
101,-1.0
102,-1.0
103,-1.0
104,-1.0
105,-1.0
106,-1.0
107,-1.0
108,-1.0
109,-1.0
110,-1.0
111,-1.0
112,-1.0
113,-1.0
114,-1.0
115,-1.0
116,-1.0
117,-1.0
118,-1.0
119,-1.0
120,15302.0
121,42119.0
122,-1.0
123,-1.0
124,-1.0
125,-1.0
126,-1.0
127,-1.0
128,-1.0
129,-1.0
130,-1.0
131,-1.0
132,-1.0
133,-1.0
134,-1.0
135,-1.0
136,-1.0
137,-1.0
138,-1.0
139,-1.0
140,-1.0
141,-1.0
142,-1.0
143,-1.0
144,-1.0
145,-1.0
146,-1.0
147,-1.0
148,-1.0
149,-1.0
150,-1.0
151,-1.0
152,-1.0
153,-1.0
154,15811.0
155,17391.0
156,-1.0
157,-1.0
158,3839.0
159,7099.0
160,41404.0
161,-1.0
162,-1.0
163,-1.0
164,-1.0
165,-1.0
166,-1.0
167,-1.0
168,-1.0
169,-1.0
170,-1.0
171,-1.0
172,-1.0
173,-1.0
174,-1.0
175,22858.0
176,22858.0
177,44198.0
178,-1.0
179,-1.0
180,-1.0
181,-1.0
182,110144.0
183,-1.0
184,68697.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,17391.0
194,3913.0
195,9651.0
196,32935.0
197,8256.0
198,5477.0
199,16437.0
200,26241.0
201,18623.0
202,-1.0
203,-1.0
204,-1.0
205,-1.0
206,-1.0
207,-1.0
208,-1.0
209,-1.0
210,-1.0
211,47306.0
212,98728.0
213,66917.0
214,21825.0
215,44198.0
216,-1.0
217,-1.0
218,-1.0
219,-1.0
220,110144.0
221,-1.0
222,87058.0
223,6530.0
224,37031.0
225,-1.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,25998.0
232,18633.0
233,23263.0
234,73509.0
235,33546.0
236,10926.0
237,28069.0
238,18690.0
239,9428.0
240,44653.0
241,40481.0
242,-1.0
243,28396.0
244,51859.0
245,61777.0
246,37323.0
247,10132.0
248,37618.0
249,41015.0
250,98728.0
251,-1.0
252,-1.0
253,62789.0
254,48017.0
255,52154.0
256,-1.0
257,78491.0
258,77740.0
259,-1.0
260,87058.0
261,44702.0
262,37031.0
263,-1.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,73509.0
273,22693.0
274,23718.0
275,12122.0
276,28368.0
277,43307.0
278,14555.0
279,40481.0
280,27124.0
281,19500.0
282,6699.0
283,32847.0
284,28063.0
285,25642.0
286,10481.0
287,38214.0
288,66235.0
289,23388.0
290,61053.0
291,53873.0
292,61730.0
293,36965.0
294,71562.0
295,37784.0
296,73771.0
297,24403.0
298,66634.0
299,41081.0
300,13657.0
301,29951.0
302,-1.0
303,-1.0
304,-1.0
305,-1.0
306,-1.0
307,-1.0
308,-1.0
309,-1.0
310,-1.0
311,-1.0
312,58089.0
313,-1.0
314,34436.0
315,42441.0
316,26749.0
317,16179.0
318,28256.0
319,32341.0
320,5402.0
321,17301.0
322,47130.0
323,51221.0
324,18259.0
325,-1.0
326,6662.0
327,25628.0
328,9258.0
329,22100.0
330,37725.0
331,11540.0
332,29728.0
333,22871.0
334,33457.0
335,10670.0
336,66634.0
337,15986.0
338,51585.0
339,19503.0
340,-1.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,-1.0
347,-1.0
348,-1.0
349,-1.0
350,-1.0
351,-1.0
352,-1.0
353,-1.0
354,35309.0
355,18166.0
356,3276.0
357,15168.0
358,67483.0
359,4688.0
360,9535.0
361,71977.0
362,51301.0
363,51301.0
364,8505.0
365,49541.0
366,11144.0
367,23406.0
368,-1.0
369,51352.0
370,23386.0
371,55105.0
372,121261.0
373,22526.0
374,34246.0
375,37413.0
376,16303.0
377,51830.0
378,61335.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,-1.0
390,-1.0
391,-1.0
392,-1.0
393,56594.0
394,8195.0
395,52751.0
396,67483.0
397,14921.0
398,38599.0
399,79364.0
400,14735.0
401,11719.0
402,9908.0
403,27044.0
404,-1.0
405,28342.0
406,28342.0
407,51352.0
408,-1.0
409,-1.0
410,-1.0
411,-1.0
412,22691.0
413,2685.0
414,-1.0
415,-1.0
416,11038.0
417,-1.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,-1.0
430,75432.0
431,-1.0
432,38116.0
433,52751.0
434,75987.0
435,29001.0
436,38599.0
437,79364.0
438,85404.0
439,40178.0
440,27287.0
441,30906.0
442,17672.0
443,-1.0
444,-1.0
445,-1.0
446,-1.0
447,-1.0
448,-1.0
449,-1.0
450,2027.0
451,0.0
452,-1.0
453,-1.0
454,-1.0
455,-1.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,-1.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,-1.0
467,237605.0
468,237605.0
469,-1.0
470,71071.0
471,65006.0
472,75987.0
473,34837.0
474,28066.0
475,14282.0
476,-1.0
477,70230.0
478,43135.0
479,24828.0
480,27769.0
481,-1.0
482,-1.0
483,-1.0
484,-1.0
485,-1.0
486,-1.0
487,0.0
488,0.0
489,-1.0
490,-1.0
491,-1.0
492,-1.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,-1.0
498,-1.0
499,-1.0
500,-1.0
501,-1.0
502,-1.0
503,-1.0
504,-1.0
505,-1.0
506,-1.0
507,-1.0
508,92851.0
509,26766.0
510,43469.0
511,21759.0
512,96711.0
513,16835.0
514,82180.0
515,70230.0
516,25543.0
517,17002.0
518,-1.0
519,-1.0
520,-1.0
521,-1.0
522,-1.0
523,-1.0
524,-1.0
525,172.0
526,0.0
527,-1.0
528,-1.0
529,-1.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,-1.0
538,-1.0
539,-1.0
540,-1.0
541,-1.0
542,-1.0
543,-1.0
544,-1.0
545,-1.0
546,-1.0
547,67056.0
548,17582.0
549,55881.0
550,-1.0
551,55602.0
552,82180.0
553,88409.0
554,22834.0
555,40779.0
556,-1.0
557,-1.0
558,-1.0
559,-1.0
560,-1.0
561,-1.0
562,-1.0
563,-1.0
564,-1.0
565,-1.0
566,-1.0
567,-1.0
568,-1.0
569,-1.0
570,-1.0
571,-1.0
572,-1.0
573,-1.0
574,-1.0
575,-1.0
576,-1.0
577,-1.0
578,-1.0
579,-1.0
580,-1.0
581,-1.0
582,-1.0
583,-1.0
584,-1.0
585,68795.0
586,35400.0
587,97285.0
588,-1.0
589,82167.0
590,-1.0
591,25983.0
592,14860.0
593,44683.0
594,65818.0
595,-1.0
596,37990.0
597,26688.0
598,-1.0
599,-1.0
600,-1.0
601,-1.0
602,-1.0
603,-1.0
604,-1.0
605,-1.0
606,-1.0
607,-1.0
608,-1.0
609,-1.0
610,-1.0
611,-1.0
612,-1.0
613,-1.0
614,-1.0
615,-1.0
616,-1.0
617,-1.0
618,-1.0
619,-1.0
620,-1.0
621,-1.0
622,-1.0
623,16992.0
624,90166.0
625,-1.0
626,-1.0
627,-1.0
628,-1.0
629,34924.0
630,6240.0
631,42720.0
632,-1.0
633,48102.0
634,51262.0
635,53677.0
636,25764.0
637,6637.0
638,-1.0
639,-1.0
640,-1.0
641,-1.0
642,-1.0
643,-1.0
644,-1.0
645,-1.0
646,-1.0
647,-1.0
648,-1.0
649,-1.0
650,-1.0
651,-1.0
652,-1.0
653,-1.0
654,-1.0
655,-1.0
656,-1.0
657,-1.0
658,-1.0
659,-1.0
660,-1.0
661,-1.0
662,-1.0
663,-1.0
664,-1.0
665,-1.0
666,-1.0
667,-1.0
668,-1.0
669,76476.0
670,76476.0
671,54173.0
672,14759.0
673,-1.0
674,47660.0
675,14591.0
676,18443.0
677,41237.0
678,-1.0
679,2738.0
680,2738.0
681,-1.0
682,-1.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,-1.0
689,-1.0
690,-1.0
691,-1.0
692,-1.0
693,-1.0
694,-1.0
695,-1.0
696,-1.0
697,-1.0
698,-1.0
699,-1.0
700,-1.0
701,-1.0
702,-1.0
703,-1.0
704,-1.0
705,-1.0
706,-1.0
707,-1.0
708,-1.0
709,54173.0
710,39460.0
711,7967.0
712,22564.0
713,20141.0
714,39466.0
715,33136.0
716,6728.0
717,3563.0
718,-1.0
719,-1.0
720,-1.0
721,-1.0
722,-1.0
723,-1.0
724,-1.0
725,-1.0
726,-1.0
727,-1.0
728,-1.0
729,-1.0
730,-1.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,-1.0
737,-1.0
738,-1.0
739,-1.0
740,-1.0
741,-1.0
742,-1.0
743,-1.0
744,-1.0
745,-1.0
746,-1.0
747,-1.0
748,-1.0
749,50066.0
750,61151.0
751,64626.0
752,64626.0
753,37860.0
754,8476.0
755,2652.0
756,2097.0
757,-1.0
758,27879.0
759,-1.0
760,-1.0
761,-1.0
762,-1.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,-1.0
772,-1.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,-1.0
778,-1.0
779,-1.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,-1.0
786,-1.0
787,-1.0
788,-1.0
789,27525.0
790,35457.0
791,35457.0
792,28742.0
793,10266.0
794,19855.0
795,10739.0
796,-1.0
797,-1.0
798,-1.0
799,-1.0
800,-1.0
801,-1.0
802,-1.0
803,-1.0
804,-1.0
805,-1.0
806,-1.0
807,-1.0
808,-1.0
809,-1.0
810,-1.0
811,-1.0
812,-1.0
813,-1.0
814,-1.0
815,-1.0
816,-1.0
817,-1.0
818,-1.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,-1.0
825,-1.0
826,-1.0
827,-1.0
828,-1.0
829,-1.0
830,-1.0
831,7932.0
832,-1.0
833,-1.0
834,-1.0
835,-1.0
