Grid_Number,Mum_popu_Education
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,231.0
46,-1.0
47,-1.0
48,-1.0
49,-1.0
50,-1.0
51,-1.0
52,-1.0
53,-1.0
54,-1.0
55,-1.0
56,-1.0
57,-1.0
58,-1.0
59,-1.0
60,-1.0
61,-1.0
62,-1.0
63,-1.0
64,-1.0
65,-1.0
66,3635.0
67,2062.0
68,-1.0
69,-1.0
70,15917.0
71,-1.0
72,9645.0
73,-1.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,-1.0
79,-1.0
80,2130.0
81,814.0
82,231.0
83,228.0
84,-1.0
85,-1.0
86,-1.0
87,-1.0
88,-1.0
89,-1.0
90,-1.0
91,-1.0
92,-1.0
93,-1.0
94,-1.0
95,-1.0
96,-1.0
97,-1.0
98,-1.0
99,-1.0
100,-1.0
101,6801.0
102,11014.0
103,12204.0
104,3635.0
105,2062.0
106,5464.0
107,15917.0
108,15917.0
109,20979.0
110,20979.0
111,9823.0
112,-1.0
113,-1.0
114,-1.0
115,3399.0
116,687.0
117,93.0
118,2130.0
119,535.0
120,3940.0
121,583.0
122,182.0
123,-1.0
124,7563.0
125,-1.0
126,-1.0
127,-1.0
128,-1.0
129,-1.0
130,345.0
131,-1.0
132,-1.0
133,-1.0
134,-1.0
135,-1.0
136,671.0
137,949.0
138,1487.0
139,7388.0
140,7388.0
141,12204.0
142,5181.0
143,1211.0
144,3401.0
145,4589.0
146,4589.0
147,20979.0
148,15676.0
149,15676.0
150,978.0
151,-1.0
152,-1.0
153,4818.0
154,1816.0
155,1086.0
156,2522.0
157,4940.0
158,3816.0
159,1028.0
160,2421.0
161,4325.0
162,7563.0
163,-1.0
164,-1.0
165,3761.0
166,-1.0
167,-1.0
168,431.0
169,775.0
170,-1.0
171,1020.0
172,824.0
173,2908.0
174,671.0
175,1846.0
176,4905.0
177,14164.0
178,11339.0
179,10425.0
180,4864.0
181,2563.0
182,9196.0
183,5850.0
184,689.0
185,400.0
186,15676.0
187,15676.0
188,3095.0
189,-1.0
190,-1.0
191,1428.0
192,1011.0
193,914.0
194,132.0
195,1544.0
196,1675.0
197,3671.0
198,3836.0
199,8164.0
200,6359.0
201,5950.0
202,206.0
203,3775.0
204,0.0
205,4761.0
206,2172.0
207,1956.0
208,1463.0
209,1020.0
210,2849.0
211,1226.0
212,1714.0
213,2715.0
214,5117.0
215,3888.0
216,6462.0
217,10161.0
218,4457.0
219,2170.0
220,4019.0
221,3912.0
222,981.0
223,7377.0
224,1942.0
225,7537.0
226,3095.0
227,-1.0
228,-1.0
229,6595.0
230,-1.0
231,10839.0
232,1412.0
233,2478.0
234,1655.0
235,5772.0
236,4146.0
237,4575.0
238,7178.0
239,8401.0
240,5200.0
241,2327.0
242,1776.0
243,8675.0
244,7042.0
245,4906.0
246,7212.0
247,4454.0
248,15451.0
249,5414.0
250,7716.0
251,6850.0
252,1929.0
253,5167.0
254,5814.0
255,11640.0
256,16677.0
257,23582.0
258,1081.0
259,6290.0
260,9260.0
261,6798.0
262,2022.0
263,1481.0
264,2213.0
265,-1.0
266,-1.0
267,-1.0
268,10839.0
269,10839.0
270,14091.0
271,26656.0
272,7054.0
273,9987.0
274,10392.0
275,13966.0
276,7397.0
277,4990.0
278,1296.0
279,4553.0
280,3627.0
281,8880.0
282,12190.0
283,15161.0
284,15567.0
285,12611.0
286,6309.0
287,4471.0
288,7662.0
289,17003.0
290,10190.0
291,15256.0
292,7820.0
293,2684.0
294,4061.0
295,9273.0
296,2759.0
297,3942.0
298,4514.0
299,12696.0
300,1956.0
301,1831.0
302,1773.0
303,1713.0
304,-1.0
305,-1.0
306,-1.0
307,14091.0
308,14091.0
309,26656.0
310,7054.0
311,9987.0
312,4542.0
313,10841.0
314,5111.0
315,1474.0
316,4090.0
317,3574.0
318,7354.0
319,2168.0
320,7089.0
321,2235.0
322,3996.0
323,4263.0
324,31279.0
325,3168.0
326,8125.0
327,13470.0
328,8397.0
329,17081.0
330,4472.0
331,4492.0
332,12596.0
333,7117.0
334,2245.0
335,8008.0
336,11091.0
337,3116.0
338,9530.0
339,2414.0
340,2355.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,-1.0
347,-1.0
348,-1.0
349,4542.0
350,1320.0
351,1320.0
352,9237.0
353,33206.0
354,13291.0
355,7600.0
356,5024.0
357,4947.0
358,5357.0
359,10118.0
360,3172.0
361,26666.0
362,25467.0
363,2627.0
364,9255.0
365,2761.0
366,3167.0
367,2744.0
368,1358.0
369,6968.0
370,8740.0
371,20168.0
372,8382.0
373,8962.0
374,7545.0
375,11036.0
376,7446.0
377,16244.0
378,669.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,1320.0
389,1320.0
390,9237.0
391,30219.0
392,18046.0
393,1411.0
394,8402.0
395,6389.0
396,8017.0
397,4130.0
398,8703.0
399,17521.0
400,25393.0
401,12010.0
402,1492.0
403,13788.0
404,2233.0
405,0.0
406,2002.0
407,3129.0
408,1926.0
409,3724.0
410,409.0
411,732.0
412,951.0
413,0.0
414,2089.0
415,2386.0
416,549.0
417,3333.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,65260.0
430,65260.0
431,11818.0
432,26635.0
433,15286.0
434,14761.0
435,11550.0
436,4898.0
437,5425.0
438,2092.0
439,7039.0
440,11858.0
441,4873.0
442,525.0
443,1190.0
444,2042.0
445,1747.0
446,2060.0
447,3899.0
448,5707.0
449,847.0
450,1392.0
451,0.0
452,0.0
453,3316.0
454,2146.0
455,627.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,-1.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,157610.0
467,157610.0
468,65260.0
469,48889.0
470,2352.0
471,2392.0
472,3887.0
473,10575.0
474,7697.0
475,17650.0
476,15348.0
477,7510.0
478,4449.0
479,8761.0
480,1548.0
481,115.0
482,2042.0
483,2646.0
484,0.0
485,0.0
486,0.0
487,847.0
488,847.0
489,0.0
490,0.0
491,0.0
492,-1.0
493,236.0
494,-1.0
495,-1.0
496,-1.0
497,-1.0
498,-1.0
499,-1.0
500,-1.0
501,-1.0
502,-1.0
503,-1.0
504,157610.0
505,157610.0
506,15989.0
507,40577.0
508,4493.0
509,9257.0
510,2867.0
511,19140.0
512,7563.0
513,3098.0
514,2898.0
515,3156.0
516,1255.0
517,1547.0
518,4072.0
519,705.0
520,115.0
521,0.0
522,0.0
523,0.0
524,0.0
525,-1.0
526,172.0
527,172.0
528,0.0
529,0.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,-1.0
538,1823.0
539,-1.0
540,-1.0
541,-1.0
542,-1.0
543,157610.0
544,8186.0
545,8186.0
546,5859.0
547,5489.0
548,17556.0
549,19806.0
550,3851.0
551,575.0
552,3886.0
553,3521.0
554,3179.0
555,2162.0
556,5393.0
557,2416.0
558,1233.0
559,6996.0
560,6996.0
561,0.0
562,0.0
563,-1.0
564,172.0
565,172.0
566,0.0
567,0.0
568,0.0
569,-1.0
570,-1.0
571,738.0
572,71.0
573,71.0
574,-1.0
575,4721.0
576,4721.0
577,1823.0
578,-1.0
579,64.0
580,64.0
581,32259.0
582,32259.0
583,32259.0
584,4472.0
585,6125.0
586,15355.0
587,11590.0
588,12505.0
589,30808.0
590,37003.0
591,5392.0
592,5529.0
593,12279.0
594,1634.0
595,1040.0
596,3017.0
597,4268.0
598,6996.0
599,1045.0
600,270.0
601,560.0
602,0.0
603,0.0
604,0.0
605,0.0
606,-1.0
607,-1.0
608,-1.0
609,857.0
610,71.0
611,71.0
612,-1.0
613,4721.0
614,4721.0
615,1823.0
616,64.0
617,64.0
618,64.0
619,64.0
620,32259.0
621,32259.0
622,6419.0
623,3149.0
624,1411.0
625,10237.0
626,45312.0
627,30808.0
628,29307.0
629,21920.0
630,3814.0
631,21068.0
632,988.0
633,1871.0
634,7310.0
635,4801.0
636,3359.0
637,1045.0
638,270.0
639,2699.0
640,39.0
641,0.0
642,0.0
643,40.0
644,-1.0
645,-1.0
646,-1.0
647,-1.0
648,857.0
649,-1.0
650,-1.0
651,4721.0
652,4721.0
653,1823.0
654,64.0
655,64.0
656,64.0
657,64.0
658,32259.0
659,6909.0
660,1057.0
661,4956.0
662,39062.0
663,17112.0
664,45312.0
665,-1.0
666,29307.0
667,4623.0
668,22652.0
669,13231.0
670,12089.0
671,25883.0
672,10170.0
673,6442.0
674,3402.0
675,7843.0
676,3890.0
677,2165.0
678,322.0
679,816.0
680,751.0
681,40.0
682,-1.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,-1.0
689,-1.0
690,9722.0
691,1202.0
692,1202.0
693,64.0
694,64.0
695,-1.0
696,-1.0
697,7506.0
698,-1.0
699,16524.0
700,39062.0
701,6616.0
702,-1.0
703,-1.0
704,-1.0
705,22652.0
706,52587.0
707,52587.0
708,52587.0
709,33056.0
710,35470.0
711,3016.0
712,13924.0
713,4962.0
714,8880.0
715,3763.0
716,1191.0
717,1142.0
718,153.0
719,413.0
720,624.0
721,-1.0
722,-1.0
723,2284.0
724,9114.0
725,-1.0
726,-1.0
727,-1.0
728,9722.0
729,321.0
730,62.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,-1.0
737,-1.0
738,-1.0
739,-1.0
740,-1.0
741,-1.0
742,-1.0
743,-1.0
744,52587.0
745,52587.0
746,52587.0
747,42667.0
748,42667.0
749,4703.0
750,11142.0
751,3419.0
752,5042.0
753,9800.0
754,3089.0
755,1263.0
756,1921.0
757,413.0
758,1316.0
759,510.0
760,262.0
761,2284.0
762,9114.0
763,-1.0
764,-1.0
765,-1.0
766,194.0
767,194.0
768,194.0
769,-1.0
770,-1.0
771,-1.0
772,-1.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,3831.0
778,1357.0
779,1357.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,4286.0
786,42667.0
787,14319.0
788,6847.0
789,1200.0
790,3387.0
791,3467.0
792,11855.0
793,7732.0
794,4262.0
795,5288.0
796,2328.0
797,819.0
798,-1.0
799,838.0
800,-1.0
801,-1.0
802,-1.0
803,-1.0
804,-1.0
805,-1.0
806,-1.0
807,-1.0
808,-1.0
809,-1.0
810,-1.0
811,-1.0
812,-1.0
813,-1.0
814,-1.0
815,-1.0
816,1357.0
817,1357.0
818,-1.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,3965.0
825,-1.0
826,-1.0
827,-1.0
828,4472.0
829,-1.0
830,-1.0
831,-1.0
832,2136.0
833,939.0
834,2771.0
835,-1.0
