Grid_Number,Del_popu_Utilities
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,-1.0
46,-1.0
47,-1.0
48,-1.0
49,-1.0
50,-1.0
51,-1.0
52,-1.0
53,-1.0
54,-1.0
55,-1.0
56,-1.0
57,-1.0
58,-1.0
59,-1.0
60,-1.0
61,-1.0
62,-1.0
63,-1.0
64,-1.0
65,-1.0
66,-1.0
67,-1.0
68,-1.0
69,-1.0
70,-1.0
71,-1.0
72,-1.0
73,-1.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,-1.0
79,-1.0
80,-1.0
81,-1.0
82,-1.0
83,-1.0
84,-1.0
85,-1.0
86,-1.0
87,-1.0
88,-1.0
89,-1.0
90,-1.0
91,-1.0
92,-1.0
93,-1.0
94,-1.0
95,-1.0
96,-1.0
97,-1.0
98,-1.0
99,-1.0
100,-1.0
101,-1.0
102,-1.0
103,-1.0
104,-1.0
105,-1.0
106,-1.0
107,-1.0
108,-1.0
109,-1.0
110,-1.0
111,-1.0
112,-1.0
113,-1.0
114,-1.0
115,-1.0
116,-1.0
117,-1.0
118,-1.0
119,-1.0
120,-1.0
121,-1.0
122,-1.0
123,-1.0
124,-1.0
125,-1.0
126,-1.0
127,-1.0
128,-1.0
129,-1.0
130,-1.0
131,-1.0
132,-1.0
133,-1.0
134,-1.0
135,-1.0
136,-1.0
137,-1.0
138,-1.0
139,-1.0
140,-1.0
141,-1.0
142,-1.0
143,-1.0
144,-1.0
145,-1.0
146,-1.0
147,-1.0
148,-1.0
149,-1.0
150,-1.0
151,-1.0
152,-1.0
153,-1.0
154,-1.0
155,-1.0
156,-1.0
157,-1.0
158,7105.0
159,-1.0
160,-1.0
161,-1.0
162,-1.0
163,30797.0
164,-1.0
165,-1.0
166,-1.0
167,-1.0
168,-1.0
169,-1.0
170,-1.0
171,-1.0
172,-1.0
173,-1.0
174,-1.0
175,-1.0
176,-1.0
177,-1.0
178,-1.0
179,5922.0
180,-1.0
181,-1.0
182,11928.0
183,-1.0
184,13824.0
185,13824.0
186,-1.0
187,-1.0
188,-1.0
189,7611.0
190,7611.0
191,-1.0
192,-1.0
193,-1.0
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,-1.0
199,-1.0
200,-1.0
201,-1.0
202,-1.0
203,-1.0
204,-1.0
205,-1.0
206,10067.0
207,10067.0
208,5449.0
209,-1.0
210,-1.0
211,30797.0
212,-1.0
213,-1.0
214,-1.0
215,-1.0
216,-1.0
217,-1.0
218,-1.0
219,-1.0
220,-1.0
221,-1.0
222,-1.0
223,-1.0
224,-1.0
225,-1.0
226,-1.0
227,-1.0
228,5922.0
229,-1.0
230,-1.0
231,11928.0
232,-1.0
233,-1.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,-1.0
241,-1.0
242,-1.0
243,-1.0
244,-1.0
245,-1.0
246,-1.0
247,5566.0
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,5449.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,-1.0
263,-1.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,11331.0
275,1922.0
276,-1.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
285,-1.0
286,-1.0
287,-1.0
288,-1.0
289,-1.0
290,-1.0
291,-1.0
292,-1.0
293,-1.0
294,-1.0
295,-1.0
296,-1.0
297,-1.0
298,-1.0
299,-1.0
300,-1.0
301,-1.0
302,-1.0
303,-1.0
304,2093.0
305,-1.0
306,3021.0
307,-1.0
308,-1.0
309,-1.0
310,-1.0
311,-1.0
312,-1.0
313,-1.0
314,-1.0
315,-1.0
316,-1.0
317,-1.0
318,-1.0
319,-1.0
320,-1.0
321,-1.0
322,-1.0
323,-1.0
324,4879.0
325,-1.0
326,-1.0
327,-1.0
328,-1.0
329,-1.0
330,-1.0
331,-1.0
332,-1.0
333,-1.0
334,-1.0
335,-1.0
336,-1.0
337,-1.0
338,-1.0
339,-1.0
340,-1.0
341,-1.0
342,-1.0
343,-1.0
344,3552.0
345,3552.0
346,-1.0
347,-1.0
348,-1.0
349,-1.0
350,2614.0
351,567.0
352,-1.0
353,2093.0
354,-1.0
355,3788.0
356,-1.0
357,-1.0
358,-1.0
359,14077.0
360,-1.0
361,-1.0
362,-1.0
363,-1.0
364,-1.0
365,-1.0
366,-1.0
367,-1.0
368,-1.0
369,14274.0
370,-1.0
371,6127.0
372,5598.0
373,10394.0
374,-1.0
375,-1.0
376,-1.0
377,-1.0
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,-1.0
390,2233.0
391,-1.0
392,-1.0
393,4225.0
394,4225.0
395,-1.0
396,-1.0
397,-1.0
398,-1.0
399,2494.0
400,342.0
401,-1.0
402,-1.0
403,-1.0
404,-1.0
405,2709.0
406,-1.0
407,-1.0
408,14077.0
409,-1.0
410,-1.0
411,7295.0
412,4942.0
413,-1.0
414,-1.0
415,-1.0
416,-1.0
417,-1.0
418,14274.0
419,3689.0
420,3689.0
421,5598.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,-1.0
430,-1.0
431,-1.0
432,-1.0
433,-1.0
434,-1.0
435,-1.0
436,-1.0
437,-1.0
438,-1.0
439,1075.0
440,-1.0
441,1319.0
442,157.0
443,-1.0
444,-1.0
445,-1.0
446,-1.0
447,-1.0
448,-1.0
449,-1.0
450,-1.0
451,-1.0
452,-1.0
453,-1.0
454,2709.0
455,-1.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,-1.0
461,-1.0
462,-1.0
463,17152.0
464,-1.0
465,-1.0
466,-1.0
467,-1.0
468,20351.0
469,2759.0
470,1219.0
471,519.0
472,-1.0
473,-1.0
474,-1.0
475,-1.0
476,12816.0
477,12816.0
478,-1.0
479,-1.0
480,-1.0
481,-1.0
482,-1.0
483,-1.0
484,-1.0
485,-1.0
486,-1.0
487,-1.0
488,-1.0
489,-1.0
490,436.0
491,536.0
492,2850.0
493,4635.0
494,1540.0
495,4770.0
496,-1.0
497,-1.0
498,1464.0
499,-1.0
500,-1.0
501,-1.0
502,-1.0
503,5593.0
504,-1.0
505,2213.0
506,-1.0
507,-1.0
508,5180.0
509,-1.0
510,-1.0
511,-1.0
512,17152.0
513,5836.0
514,-1.0
515,-1.0
516,-1.0
517,6626.0
518,2363.0
519,1481.0
520,1427.0
521,12113.0
522,-1.0
523,-1.0
524,-1.0
525,14417.0
526,14417.0
527,-1.0
528,-1.0
529,-1.0
530,15034.0
531,-1.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,-1.0
538,-1.0
539,-1.0
540,-1.0
541,5996.0
542,-1.0
543,1729.0
544,4770.0
545,-1.0
546,-1.0
547,-1.0
548,-1.0
549,-1.0
550,-1.0
551,-1.0
552,-1.0
553,-1.0
554,2213.0
555,-1.0
556,1816.0
557,-1.0
558,-1.0
559,11853.0
560,488.0
561,488.0
562,927.0
563,-1.0
564,14658.0
565,-1.0
566,18597.0
567,29355.0
568,2997.0
569,1364.0
570,12113.0
571,-1.0
572,-1.0
573,-1.0
574,-1.0
575,-1.0
576,-1.0
577,-1.0
578,-1.0
579,15034.0
580,-1.0
581,-1.0
582,-1.0
583,-1.0
584,-1.0
585,-1.0
586,-1.0
587,-1.0
588,-1.0
589,-1.0
590,5996.0
591,-1.0
592,-1.0
593,-1.0
594,-1.0
595,-1.0
596,-1.0
597,-1.0
598,-1.0
599,-1.0
600,2326.0
601,2734.0
602,-1.0
603,-1.0
604,-1.0
605,5851.0
606,1835.0
607,-1.0
608,17671.0
609,-1.0
610,488.0
611,12348.0
612,-1.0
613,14658.0
614,3377.0
615,-1.0
616,29355.0
617,6623.0
618,7867.0
619,13903.0
620,-1.0
621,-1.0
622,-1.0
623,-1.0
624,-1.0
625,-1.0
626,-1.0
627,5203.0
628,6792.0
629,-1.0
630,-1.0
631,-1.0
632,-1.0
633,-1.0
634,-1.0
635,-1.0
636,-1.0
637,-1.0
638,-1.0
639,-1.0
640,-1.0
641,-1.0
642,-1.0
643,-1.0
644,-1.0
645,-1.0
646,-1.0
647,-1.0
648,1435.0
649,1435.0
650,-1.0
651,-1.0
652,-1.0
653,-1.0
654,-1.0
655,1835.0
656,-1.0
657,17671.0
658,11194.0
659,12268.0
660,6517.0
661,-1.0
662,-1.0
663,454.0
664,2050.0
665,33303.0
666,-1.0
667,-1.0
668,13903.0
669,7076.0
670,7076.0
671,6515.0
672,8458.0
673,-1.0
674,13922.0
675,-1.0
676,5203.0
677,6792.0
678,-1.0
679,-1.0
680,-1.0
681,-1.0
682,-1.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,-1.0
689,2415.0
690,2415.0
691,5203.0
692,-1.0
693,-1.0
694,-1.0
695,-1.0
696,-1.0
697,2295.0
698,-1.0
699,-1.0
700,-1.0
701,-1.0
702,-1.0
703,-1.0
704,5266.0
705,11633.0
706,8708.0
707,13834.0
708,7801.0
709,-1.0
710,-1.0
711,-1.0
712,4228.0
713,10304.0
714,10304.0
715,2919.0
716,10078.0
717,-1.0
718,-1.0
719,-1.0
720,-1.0
721,8458.0
722,-1.0
723,-1.0
724,-1.0
725,-1.0
726,-1.0
727,-1.0
728,32131.0
729,-1.0
730,-1.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,7109.0
737,-1.0
738,2415.0
739,1035.0
740,8272.0
741,8272.0
742,-1.0
743,-1.0
744,3077.0
745,628.0
746,894.0
747,840.0
748,1040.0
749,1937.0
750,-1.0
751,-1.0
752,-1.0
753,5266.0
754,4334.0
755,4475.0
756,1594.0
757,12944.0
758,-1.0
759,-1.0
760,-1.0
761,-1.0
762,-1.0
763,33462.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,-1.0
772,-1.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,32131.0
778,14015.0
779,-1.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,4829.0
785,13513.0
786,-1.0
787,12320.0
788,3233.0
789,897.0
790,10122.0
791,-1.0
792,-1.0
793,4269.0
794,1325.0
795,426.0
796,426.0
797,-1.0
798,1542.0
799,7675.0
800,-1.0
801,-1.0
802,4284.0
803,4773.0
804,9820.0
805,4767.0
806,-1.0
807,16540.0
808,-1.0
809,-1.0
810,-1.0
811,10926.0
812,-1.0
813,9695.0
814,9695.0
815,-1.0
816,-1.0
817,12318.0
818,12318.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,-1.0
825,2284.0
826,6111.0
827,-1.0
828,-1.0
829,-1.0
830,-1.0
831,-1.0
832,-1.0
833,-1.0
834,8600.0
835,-1.0
836,13272.0
837,5930.0
838,6239.0
839,2523.0
840,2703.0
841,5971.0
842,3069.0
843,1417.0
844,1109.0
845,-1.0
846,-1.0
847,-1.0
848,7675.0
849,10500.0
850,-1.0
851,5867.0
852,1011.0
853,5810.0
854,7120.0
855,7524.0
856,5862.0
857,-1.0
858,-1.0
859,11620.0
860,11620.0
861,-1.0
862,35515.0
863,-1.0
864,-1.0
865,-1.0
866,14886.0
867,-1.0
868,-1.0
869,-1.0
870,-1.0
871,-1.0
872,-1.0
873,18673.0
874,18673.0
875,-1.0
876,-1.0
877,-1.0
878,-1.0
879,-1.0
880,-1.0
881,-1.0
882,-1.0
883,1616.0
884,12773.0
885,19677.0
886,9887.0
887,2802.0
888,991.0
889,6089.0
890,1931.0
891,2129.0
892,2646.0
893,1218.0
894,2969.0
895,-1.0
896,-1.0
897,6056.0
898,6056.0
899,4507.0
900,6469.0
901,3728.0
902,2492.0
903,2996.0
904,3487.0
905,3397.0
906,10954.0
907,2786.0
908,17201.0
909,-1.0
910,-1.0
911,-1.0
912,-1.0
913,-1.0
914,-1.0
915,8740.0
916,-1.0
917,-1.0
918,-1.0
919,-1.0
920,-1.0
921,-1.0
922,-1.0
923,-1.0
924,-1.0
925,-1.0
926,-1.0
927,-1.0
928,-1.0
929,-1.0
930,-1.0
931,-1.0
932,-1.0
933,-1.0
934,-1.0
935,7730.0
936,3210.0
937,2187.0
938,3837.0
939,5776.0
940,3418.0
941,3334.0
942,3428.0
943,2969.0
944,4221.0
945,-1.0
946,5859.0
947,1143.0
948,734.0
949,3090.0
950,9254.0
951,5697.0
952,1760.0
953,1776.0
954,3611.0
955,3792.0
956,2786.0
957,-1.0
958,40664.0
959,27500.0
960,-1.0
961,13654.0
962,2787.0
963,-1.0
964,7129.0
965,-1.0
966,-1.0
967,-1.0
968,-1.0
969,-1.0
970,-1.0
971,-1.0
972,-1.0
973,-1.0
974,-1.0
975,-1.0
976,-1.0
977,-1.0
978,-1.0
979,-1.0
980,2585.0
981,2153.0
982,9111.0
983,1902.0
984,7492.0
985,6925.0
986,1722.0
987,3333.0
988,4013.0
989,6301.0
990,4375.0
991,6692.0
992,-1.0
993,364.0
994,3181.0
995,611.0
996,-1.0
997,4261.0
998,12267.0
999,14904.0
1000,14482.0
1001,6597.0
1002,3034.0
1003,1576.0
1004,4928.0
1005,-1.0
1006,13582.0
1007,10047.0
1008,11696.0
1009,-1.0
1010,-1.0
1011,1241.0
1012,5016.0
1013,5382.0
1014,-1.0
1015,-1.0
1016,-1.0
1017,-1.0
1018,8062.0
1019,10791.0
1020,14019.0
1021,-1.0
1022,-1.0
1023,-1.0
1024,-1.0
1025,-1.0
1026,-1.0
1027,-1.0
1028,-1.0
1029,1536.0
1030,2016.0
1031,1529.0
1032,8725.0
1033,6634.0
1034,4251.0
1035,4342.0
1036,3413.0
1037,1310.0
1038,316.0
1039,9030.0
1040,7611.0
1041,8659.0
1042,11278.0
1043,11278.0
1044,7145.0
1045,7145.0
1046,5010.0
1047,6156.0
1048,2855.0
1049,17619.0
1050,1982.0
1051,2869.0
1052,5626.0
1053,2915.0
1054,5924.0
1055,13582.0
1056,16036.0
1057,11140.0
1058,686.0
1059,7609.0
1060,-1.0
1061,6916.0
1062,1210.0
1063,153.0
1064,-1.0
1065,31857.0
1066,18700.0
1067,8062.0
1068,18825.0
1069,8788.0
1070,-1.0
1071,-1.0
1072,-1.0
1073,-1.0
1074,-1.0
1075,-1.0
1076,-1.0
1077,-1.0
1078,-1.0
1079,1048.0
1080,4790.0
1081,5224.0
1082,3029.0
1083,6425.0
1084,9399.0
1085,4107.0
1086,1133.0
1087,5129.0
1088,5129.0
1089,3833.0
1090,11712.0
1091,28458.0
1092,-1.0
1093,10859.0
1094,4623.0
1095,3902.0
1096,13763.0
1097,3042.0
1098,4018.0
1099,1317.0
1100,1894.0
1101,6172.0
1102,1692.0
1103,7900.0
1104,1520.0
1105,3799.0
1106,6355.0
1107,3110.0
1108,2980.0
1109,5116.0
1110,4963.0
1111,8845.0
1112,153.0
1113,-1.0
1114,31857.0
1115,18700.0
1116,38539.0
1117,26880.0
1118,15273.0
1119,-1.0
1120,-1.0
1121,-1.0
1122,-1.0
1123,-1.0
1124,-1.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,6279.0
1129,1948.0
1130,2874.0
1131,2236.0
1132,2950.0
1133,3033.0
1134,3781.0
1135,2886.0
1136,6504.0
1137,713.0
1138,5473.0
1139,6788.0
1140,-1.0
1141,-1.0
1142,11195.0
1143,9164.0
1144,7593.0
1145,14587.0
1146,4071.0
1147,5454.0
1148,1448.0
1149,1118.0
1150,10005.0
1151,4913.0
1152,7819.0
1153,2507.0
1154,6117.0
1155,4804.0
1156,5292.0
1157,3920.0
1158,3693.0
1159,1114.0
1160,4998.0
1161,7995.0
1162,6863.0
1163,-1.0
1164,-1.0
1165,38062.0
1166,38062.0
1167,-1.0
1168,-1.0
1169,-1.0
1170,-1.0
1171,-1.0
1172,-1.0
1173,-1.0
1174,-1.0
1175,-1.0
1176,-1.0
1177,3711.0
1178,1313.0
1179,3993.0
1180,5274.0
1181,7854.0
1182,8179.0
1183,6808.0
1184,6808.0
1185,20256.0
1186,-1.0
1187,3399.0
1188,7498.0
1189,-1.0
1190,-1.0
1191,13995.0
1192,9118.0
1193,5493.0
1194,2543.0
1195,4826.0
1196,5343.0
1197,3042.0
1198,9006.0
1199,13881.0
1200,6171.0
1201,2700.0
1202,1183.0
1203,9551.0
1204,13721.0
1205,10247.0
1206,7018.0
1207,5234.0
1208,8586.0
1209,4870.0
1210,7329.0
1211,2489.0
1212,3893.0
1213,-1.0
1214,8513.0
1215,-1.0
1216,40767.0
1217,-1.0
1218,2108.0
1219,-1.0
1220,14999.0
1221,-1.0
1222,-1.0
1223,-1.0
1224,-1.0
1225,867.0
1226,9391.0
1227,821.0
1228,3662.0
1229,1842.0
1230,4815.0
1231,3118.0
1232,722.0
1233,5887.0
1234,10058.0
1235,13605.0
1236,9427.0
1237,7207.0
1238,6224.0
1239,-1.0
1240,20660.0
1241,-1.0
1242,7390.0
1243,1101.0
1244,3830.0
1245,4597.0
1246,5147.0
1247,5226.0
1248,1674.0
1249,7241.0
1250,4797.0
1251,9627.0
1252,12612.0
1253,18579.0
1254,1327.0
1255,2867.0
1256,2903.0
1257,2109.0
1258,3378.0
1259,9701.0
1260,4854.0
1261,1945.0
1262,3983.0
1263,2871.0
1264,-1.0
1265,3659.0
1266,-1.0
1267,2577.0
1268,971.0
1269,2582.0
1270,9734.0
1271,-1.0
1272,-1.0
1273,-1.0
1274,1127.0
1275,9391.0
1276,3499.0
1277,3431.0
1278,3431.0
1279,6911.0
1280,5907.0
1281,2735.0
1282,3129.0
1283,2961.0
1284,10037.0
1285,-1.0
1286,20013.0
1287,8024.0
1288,9746.0
1289,32952.0
1290,32952.0
1291,13862.0
1292,3462.0
1293,4370.0
1294,4677.0
1295,12731.0
1296,12461.0
1297,1583.0
1298,5454.0
1299,6172.0
1300,3477.0
1301,8079.0
1302,9453.0
1303,5699.0
1304,4784.0
1305,5976.0
1306,5659.0
1307,12293.0
1308,177.0
1309,1256.0
1310,1945.0
1311,3983.0
1312,2871.0
1313,1928.0
1314,880.0
1315,4466.0
1316,-1.0
1317,13045.0
1318,9076.0
1319,15252.0
1320,8011.0
1321,-1.0
1322,-1.0
1323,-1.0
1324,-1.0
1325,2884.0
1326,10734.0
1327,4915.0
